"filename", "language", "JavaScript", "Vue", "SCSS", "YAML", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"e:\codepag\vue-admin-template\.eslintrc.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 0, 2, 2, 199
"e:\codepag\vue-admin-template\.travis.yml", "YAML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\codepag\vue-admin-template\README-zh.md", "Markdown", 0, 0, 0, 0, 0, 0, 63, 0, 0, 40, 103
"e:\codepag\vue-admin-template\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 54, 0, 0, 37, 91
"e:\codepag\vue-admin-template\babel.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 1, 15
"e:\codepag\vue-admin-template\build\index.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"e:\codepag\vue-admin-template\jest.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 2, 1, 25
"e:\codepag\vue-admin-template\jsconfig.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 10
"e:\codepag\vue-admin-template\package.json", "JSON", 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 71
"e:\codepag\vue-admin-template\postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"e:\codepag\vue-admin-template\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
"e:\codepag\vue-admin-template\src\App.vue", "Vue", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\codepag\vue-admin-template\src\api\procurement\delivery.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 5, 35
"e:\codepag\vue-admin-template\src\api\procurement\material.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"e:\codepag\vue-admin-template\src\api\procurement\payable.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 6, 7, 55
"e:\codepag\vue-admin-template\src\api\procurement\puchase.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 3, 6, 44
"e:\codepag\vue-admin-template\src\api\procurement\return.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"e:\codepag\vue-admin-template\src\api\procurement\sendplan.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 1, 5, 34
"e:\codepag\vue-admin-template\src\api\table.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\codepag\vue-admin-template\src\api\user.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"e:\codepag\vue-admin-template\src\components\Breadcrumb\index.vue", "Vue", 0, 70, 0, 0, 0, 0, 0, 0, 2, 7, 79
"e:\codepag\vue-admin-template\src\components\Hamburger\index.vue", "Vue", 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 45
"e:\codepag\vue-admin-template\src\components\MaterialSearch.vue", "Vue", 0, 160, 0, 0, 0, 0, 0, 0, 0, 11, 171
"e:\codepag\vue-admin-template\src\components\Pagination\index.vue", "Vue", 0, 89, 0, 0, 0, 0, 0, 0, 0, 4, 93
"e:\codepag\vue-admin-template\src\components\SvgIcon\index.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 0, 1, 5, 63
"e:\codepag\vue-admin-template\src\components\UploadExcel\index.vue", "Vue", 0, 134, 0, 0, 0, 0, 0, 0, 2, 6, 142
"e:\codepag\vue-admin-template\src\icons\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"e:\codepag\vue-admin-template\src\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\codepag\vue-admin-template\src\icons\svg\example.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\codepag\vue-admin-template\src\icons\svg\exception-handle.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 0, 1, 0, 39
"e:\codepag\vue-admin-template\src\icons\svg\eye-open.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\codepag\vue-admin-template\src\icons\svg\eye.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\codepag\vue-admin-template\src\icons\svg\form.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\codepag\vue-admin-template\src\icons\svg\link.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\codepag\vue-admin-template\src\icons\svg\nested.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\codepag\vue-admin-template\src\icons\svg\order-manage.svg", "XML", 0, 0, 0, 0, 30, 0, 0, 0, 1, 0, 31
"e:\codepag\vue-admin-template\src\icons\svg\password.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\codepag\vue-admin-template\src\icons\svg\payable-manage.svg", "XML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"e:\codepag\vue-admin-template\src\icons\svg\product-manage.svg", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 1, 0, 28
"e:\codepag\vue-admin-template\src\icons\svg\return-manage.svg", "XML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"e:\codepag\vue-admin-template\src\icons\svg\selfCenter.svg", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 1, 0, 28
"e:\codepag\vue-admin-template\src\icons\svg\table.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\codepag\vue-admin-template\src\icons\svg\tree.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\codepag\vue-admin-template\src\icons\svg\user.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\codepag\vue-admin-template\src\icons\svgo.yml", "YAML", 0, 0, 0, 5, 0, 0, 0, 0, 13, 5, 23
"e:\codepag\vue-admin-template\src\layout\components\AppMain.vue", "Vue", 0, 46, 0, 0, 0, 0, 0, 0, 3, 6, 55
"e:\codepag\vue-admin-template\src\layout\components\Navbar.vue", "Vue", 0, 120, 0, 0, 0, 0, 0, 0, 0, 18, 138
"e:\codepag\vue-admin-template\src\layout\components\Sidebar\FixiOSBug.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 2, 1, 27
"e:\codepag\vue-admin-template\src\layout\components\Sidebar\Item.vue", "Vue", 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 42
"e:\codepag\vue-admin-template\src\layout\components\Sidebar\Link.vue", "Vue", 0, 41, 0, 0, 0, 0, 0, 0, 0, 3, 44
"e:\codepag\vue-admin-template\src\layout\components\Sidebar\Logo.vue", "Vue", 0, 74, 0, 0, 0, 0, 0, 0, 0, 9, 83
"e:\codepag\vue-admin-template\src\layout\components\Sidebar\SidebarItem.vue", "Vue", 0, 83, 0, 0, 0, 0, 0, 0, 6, 7, 96
"e:\codepag\vue-admin-template\src\layout\components\Sidebar\index.vue", "Vue", 0, 53, 0, 0, 0, 0, 0, 0, 1, 3, 57
"e:\codepag\vue-admin-template\src\layout\components\TagsView\ScrollPane.vue", "Vue", 0, 81, 0, 0, 0, 0, 0, 0, 4, 10, 95
"e:\codepag\vue-admin-template\src\layout\components\TagsView\index.vue", "Vue", 0, 281, 0, 0, 0, 0, 0, 0, 6, 7, 294
"e:\codepag\vue-admin-template\src\layout\components\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\codepag\vue-admin-template\src\layout\detailLayout.vue", "Vue", 0, 88, 0, 0, 0, 0, 0, 0, 0, 8, 96
"e:\codepag\vue-admin-template\src\layout\index.vue", "Vue", 0, 88, 0, 0, 0, 0, 0, 0, 0, 8, 96
"e:\codepag\vue-admin-template\src\layout\mixin\ResizeHandler.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 2, 4, 46
"e:\codepag\vue-admin-template\src\main.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 9, 29
