Date : 2022-01-14 10:44:33
Directory : e:\codepag\vue-admin-template
Total : 117 files,  11043 codes, 531 comments, 803 blanks, all 12377 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         36 |      7,530 |        178 |        335 |      8,043 |
| JavaScript |         49 |      2,206 |        294 |        275 |      2,775 |
| SCSS       |          8 |        914 |         36 |        108 |      1,058 |
| XML        |         17 |        175 |          4 |          0 |        179 |
| Markdown   |          2 |        117 |          0 |         77 |        194 |
| JSON       |          2 |         75 |          5 |          1 |         81 |
| HTML       |          1 |         16 |          1 |          1 |         18 |
| YAML       |          2 |         10 |         13 |          6 |         29 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |        117 |     11,043 |        531 |        803 |     12,377 |
| build                                                                       |          1 |         28 |          0 |          8 |         36 |
| public                                                                      |          1 |         16 |          1 |          1 |         18 |
| src                                                                         |         97 |     10,261 |        479 |        683 |     11,423 |
| src\api                                                                     |          8 |        182 |         14 |         33 |        229 |
| src\api\procurement                                                         |          6 |        149 |         14 |         27 |        190 |
| src\components                                                              |          6 |        551 |          5 |         37 |        593 |
| src\components\Breadcrumb                                                   |          1 |         70 |          2 |          7 |         79 |
| src\components\Hamburger                                                    |          1 |         41 |          0 |          4 |         45 |
| src\components\Pagination                                                   |          1 |         89 |          0 |          4 |         93 |
| src\components\SvgIcon                                                      |          1 |         57 |          1 |          5 |         63 |
| src\components\UploadExcel                                                  |          1 |        134 |          2 |          6 |        142 |
| src\icons                                                                   |         19 |        186 |         18 |          8 |        212 |
| src\icons\svg                                                               |         17 |        175 |          4 |          0 |        179 |
| src\layout                                                                  |         14 |      1,061 |         24 |         89 |      1,174 |
| src\layout\components                                                       |         11 |        845 |         22 |         69 |        936 |
| src\layout\components\Sidebar                                               |          6 |        313 |          9 |         27 |        349 |
| src\layout\components\TagsView                                              |          2 |        362 |         10 |         17 |        389 |
